id,title,description,availability,condition,price,link,image_link,additional_image_link,brand,mpn,google_product_category,product_type,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4
SRC-211L,Swift Racing Shell 211L- - Double Scull / Pair,"Swift Racing Shell 211L-, Double Scull / Pair (2x/-), designed for crews averaging 55-65 kg (121-143 lb). Length 940 cm; waterline beam 32.1 cm. New boat built to order. Construction grade, riggers, shoes, colours and accessories can be configured. Contact Swift Racing Canada for a quote and ordering guidance.",preorder,new,,https://swiftracingcanada.ca/contact/?boat=SRC-211L,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-211l.jpg,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-211l-2.jpg,Swift Racing,211L-,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Rowing Boats,Boats > Flatwater Racing Shells > Double Scull / Pair,Flatwater Racing Shells,2x/-,55-65 kg,Contact for quote,2026 catalogue
SRC-222,Swift Racing Shell 222-* - Double Scull / Pair,"Swift Racing Shell 222-*, Double Scull / Pair (2x/-), designed for crews averaging 60-75 kg (132-165 lb). Length 943 cm; waterline beam 32.6 cm. New boat built to order. Construction grade, riggers, shoes, colours and accessories can be configured. Contact Swift Racing Canada for a quote and ordering guidance.",preorder,new,,https://swiftracingcanada.ca/contact/?boat=SRC-222,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-222.jpg,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-222-2.jpg,Swift Racing,222-*,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Rowing Boats,Boats > Flatwater Racing Shells > Double Scull / Pair,Flatwater Racing Shells,2x/-,60-75 kg,Contact for quote,2026 catalogue
SRC-211H,Swift Racing Shell 211H- - Double Scull / Pair,"Swift Racing Shell 211H-, Double Scull / Pair (2x/-), designed for crews averaging 65-75 kg (143-165 lb). Length 940 cm; waterline beam 32.5 cm. New boat built to order. Construction grade, riggers, shoes, colours and accessories can be configured. Contact Swift Racing Canada for a quote and ordering guidance.",preorder,new,,https://swiftracingcanada.ca/contact/?boat=SRC-211H,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-211h.jpg,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-211h-2.jpg,Swift Racing,211H-,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Rowing Boats,Boats > Flatwater Racing Shells > Double Scull / Pair,Flatwater Racing Shells,2x/-,65-75 kg,Contact for quote,2026 catalogue
SRC-223,Swift Racing Shell 223-* - Double Scull / Pair,"Swift Racing Shell 223-*, Double Scull / Pair (2x/-), designed for crews averaging 70-85 kg (154-187 lb). Length 958 cm; waterline beam 34.5 cm. New boat built to order. Construction grade, riggers, shoes, colours and accessories can be configured. Contact Swift Racing Canada for a quote and ordering guidance.",preorder,new,,https://swiftracingcanada.ca/contact/?boat=SRC-223,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-223.jpg,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-223-2.jpg,Swift Racing,223-*,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Rowing Boats,Boats > Flatwater Racing Shells > Double Scull / Pair,Flatwater Racing Shells,2x/-,70-85 kg,Contact for quote,2026 catalogue
SRC-224,Swift Racing Shell 224-* - Double Scull / Pair,"Swift Racing Shell 224-*, Double Scull / Pair (2x/-), designed for crews averaging 75-90 kg (165-198 lb). Length 970 cm; waterline beam 34.5 cm. New boat built to order. Construction grade, riggers, shoes, colours and accessories can be configured. Contact Swift Racing Canada for a quote and ordering guidance.",preorder,new,,https://swiftracingcanada.ca/contact/?boat=SRC-224,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-224.jpg,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-224-2.jpg,Swift Racing,224-*,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Rowing Boats,Boats > Flatwater Racing Shells > Double Scull / Pair,Flatwater Racing Shells,2x/-,75-90 kg,Contact for quote,2026 catalogue
SRC-225,Swift Racing Shell 225-* - Double Scull / Pair,"Swift Racing Shell 225-*, Double Scull / Pair (2x/-), designed for crews averaging 85-100 kg (187-220 lb). Length 978 cm; waterline beam 35 cm. New boat built to order. Construction grade, riggers, shoes, colours and accessories can be configured. Contact Swift Racing Canada for a quote and ordering guidance.",preorder,new,,https://swiftracingcanada.ca/contact/?boat=SRC-225,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-225.jpg,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-225-2.jpg,Swift Racing,225-*,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Rowing Boats,Boats > Flatwater Racing Shells > Double Scull / Pair,Flatwater Racing Shells,2x/-,85-100 kg,Contact for quote,2026 catalogue
SRC-226,Swift Racing Shell 226-* - Double Scull / Pair,"Swift Racing Shell 226-*, Double Scull / Pair (2x/-), designed for crews averaging 90-105 kg (198-231 lb). Length 995 cm; waterline beam 36 cm. New boat built to order. Construction grade, riggers, shoes, colours and accessories can be configured. Contact Swift Racing Canada for a quote and ordering guidance.",preorder,new,,https://swiftracingcanada.ca/contact/?boat=SRC-226,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-226.jpg,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-226-2.jpg,Swift Racing,226-*,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Rowing Boats,Boats > Flatwater Racing Shells > Double Scull / Pair,Flatwater Racing Shells,2x/-,90-105 kg,Contact for quote,2026 catalogue
SRC-421A,Swift Racing Shell 421A-* - Quad / Four,"Swift Racing Shell 421A-*, Quad / Four (4x/-), designed for crews averaging 50-60 kg (110-132 lb). Length 1143 cm; waterline beam 39.6 cm. New boat built to order. Construction grade, riggers, shoes, colours and accessories can be configured. Contact Swift Racing Canada for a quote and ordering guidance.",preorder,new,,https://swiftracingcanada.ca/contact/?boat=SRC-421A,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-421a.jpg,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-421a-2.jpg,Swift Racing,421A-*,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Rowing Boats,Boats > Flatwater Racing Shells > Quad / Four,Flatwater Racing Shells,4x/-,50-60 kg,Contact for quote,2026 catalogue
SRC-422,Swift Racing Shell 422-* - Quad / Four,"Swift Racing Shell 422-*, Quad / Four (4x/-), designed for crews averaging 60-75 kg (132-165 lb). Length 1175 cm; waterline beam 42.5 cm. New boat built to order. Construction grade, riggers, shoes, colours and accessories can be configured. Contact Swift Racing Canada for a quote and ordering guidance.",preorder,new,,https://swiftracingcanada.ca/contact/?boat=SRC-422,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-422.jpg,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-422-2.jpg,Swift Racing,422-*,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Rowing Boats,Boats > Flatwater Racing Shells > Quad / Four,Flatwater Racing Shells,4x/-,60-75 kg,Contact for quote,2026 catalogue
SRC-423A,Swift Racing Shell 423A-* - Quad / Four,"Swift Racing Shell 423A-*, Quad / Four (4x/-), designed for crews averaging 65-80 kg (143-176 lb). Length 1175 cm; waterline beam 42.7 cm. New boat built to order. Construction grade, riggers, shoes, colours and accessories can be configured. Contact Swift Racing Canada for a quote and ordering guidance.",preorder,new,,https://swiftracingcanada.ca/contact/?boat=SRC-423A,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-423a.jpg,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-423a-2.jpg,Swift Racing,423A-*,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Rowing Boats,Boats > Flatwater Racing Shells > Quad / Four,Flatwater Racing Shells,4x/-,65-80 kg,Contact for quote,2026 catalogue
SRC-426,Swift Racing Shell 426-* - Quad / Four,"Swift Racing Shell 426-*, Quad / Four (4x/-), designed for crews averaging 70-85 kg (154-187 lb). Length 1185 cm; waterline beam 41.5 cm. New boat built to order. Construction grade, riggers, shoes, colours and accessories can be configured. Contact Swift Racing Canada for a quote and ordering guidance.",preorder,new,,https://swiftracingcanada.ca/contact/?boat=SRC-426,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-426.jpg,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-426-2.jpg,Swift Racing,426-*,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Rowing Boats,Boats > Flatwater Racing Shells > Quad / Four,Flatwater Racing Shells,4x/-,70-85 kg,Contact for quote,2026 catalogue
SRC-424,Swift Racing Shell 424-* - Quad / Four,"Swift Racing Shell 424-*, Quad / Four (4x/-), designed for crews averaging 80-95 kg (176-209 lb). Length 1194 cm; waterline beam 43.5 cm. New boat built to order. Construction grade, riggers, shoes, colours and accessories can be configured. Contact Swift Racing Canada for a quote and ordering guidance.",preorder,new,,https://swiftracingcanada.ca/contact/?boat=SRC-424,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-424.jpg,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-424-2.jpg,Swift Racing,424-*,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Rowing Boats,Boats > Flatwater Racing Shells > Quad / Four,Flatwater Racing Shells,4x/-,80-95 kg,Contact for quote,2026 catalogue
SRC-408,Swift Racing Shell 408- - Quad / Four,"Swift Racing Shell 408-, Quad / Four (4x/-), designed for crews averaging 90-105 kg (198-231 lb). Length 1260 cm; waterline beam 45 cm. New boat built to order. Construction grade, riggers, shoes, colours and accessories can be configured. Contact Swift Racing Canada for a quote and ordering guidance.",preorder,new,,https://swiftracingcanada.ca/contact/?boat=SRC-408,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-408.jpg,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-408-2.jpg,Swift Racing,408-,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Rowing Boats,Boats > Flatwater Racing Shells > Quad / Four,Flatwater Racing Shells,4x/-,90-105 kg,Contact for quote,2026 catalogue
SRC-425,Swift Racing Shell 425*- - Quad / Four,"Swift Racing Shell 425*-, Quad / Four (4x/-), designed for crews averaging 90-105 kg (198-231 lb). Length 1272 cm; waterline beam 45 cm. New boat built to order. Construction grade, riggers, shoes, colours and accessories can be configured. Contact Swift Racing Canada for a quote and ordering guidance.",preorder,new,,https://swiftracingcanada.ca/contact/?boat=SRC-425,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-425.jpg,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-425-2.jpg,Swift Racing,425*-,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Rowing Boats,Boats > Flatwater Racing Shells > Quad / Four,Flatwater Racing Shells,4x/-,90-105 kg,Contact for quote,2026 catalogue
SRC-423APLUS,Swift Racing Shell 423A+* - Coxed Quad / Four,"Swift Racing Shell 423A+*, Coxed Quad / Four (4x/+), designed for crews averaging 50-65 kg (110-143 lb). Length 1175 cm; waterline beam 42.7 cm. New boat built to order. Construction grade, riggers, shoes, colours and accessories can be configured. Contact Swift Racing Canada for a quote and ordering guidance.",preorder,new,,https://swiftracingcanada.ca/contact/?boat=SRC-423APLUS,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-423aplus.jpg,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-423aplus-2.jpg,Swift Racing,423A+*,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Rowing Boats,Boats > Flatwater Racing Shells > Coxed Quad / Four,Flatwater Racing Shells,4x/+,50-65 kg,Contact for quote,2026 catalogue
SRC-426PLUS,Swift Racing Shell 426+* - Coxed Quad / Four,"Swift Racing Shell 426+*, Coxed Quad / Four (4x/+), designed for crews averaging 55-70 kg (121-154 lb). Length 1185 cm; waterline beam 41.5 cm. New boat built to order. Construction grade, riggers, shoes, colours and accessories can be configured. Contact Swift Racing Canada for a quote and ordering guidance.",preorder,new,,https://swiftracingcanada.ca/contact/?boat=SRC-426PLUS,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-426plus.jpg,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-426plus-2.jpg,Swift Racing,426+*,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Rowing Boats,Boats > Flatwater Racing Shells > Coxed Quad / Four,Flatwater Racing Shells,4x/+,55-70 kg,Contact for quote,2026 catalogue
SRC-424PLUS,Swift Racing Shell 424+* - Coxed Quad / Four,"Swift Racing Shell 424+*, Coxed Quad / Four (4x/+), designed for crews averaging 65-80 kg (132-165 lb). Length 1194 cm; waterline beam 43.5 cm. New boat built to order. Construction grade, riggers, shoes, colours and accessories can be configured. Contact Swift Racing Canada for a quote and ordering guidance.",preorder,new,,https://swiftracingcanada.ca/contact/?boat=SRC-424PLUS,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-424plus.jpg,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-424plus-2.jpg,Swift Racing,424+*,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Rowing Boats,Boats > Flatwater Racing Shells > Coxed Quad / Four,Flatwater Racing Shells,4x/+,65-80 kg,Contact for quote,2026 catalogue
SRC-408PLUS,Swift Racing Shell 408+ - Coxed Quad / Four,"Swift Racing Shell 408+, Coxed Quad / Four (4x/+), designed for crews averaging 75-90 kg (165-198 lb). Length 1260 cm; waterline beam 45 cm. New boat built to order. Construction grade, riggers, shoes, colours and accessories can be configured. Contact Swift Racing Canada for a quote and ordering guidance.",preorder,new,,https://swiftracingcanada.ca/contact/?boat=SRC-408PLUS,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-408plus.jpg,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-408plus-2.jpg,Swift Racing,408+,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Rowing Boats,Boats > Flatwater Racing Shells > Coxed Quad / Four,Flatwater Racing Shells,4x/+,75-90 kg,Contact for quote,2026 catalogue
SRC-425PLUS,Swift Racing Shell 425+* - Coxed Quad / Four,"Swift Racing Shell 425+*, Coxed Quad / Four (4x/+), designed for crews averaging 75-90 kg (165-198 lb). Length 1272 cm; waterline beam 45 cm. New boat built to order. Construction grade, riggers, shoes, colours and accessories can be configured. Contact Swift Racing Canada for a quote and ordering guidance.",preorder,new,,https://swiftracingcanada.ca/contact/?boat=SRC-425PLUS,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-425plus.jpg,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-425plus-2.jpg,Swift Racing,425+*,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Rowing Boats,Boats > Flatwater Racing Shells > Coxed Quad / Four,Flatwater Racing Shells,4x/+,75-90 kg,Contact for quote,2026 catalogue
SRC-808PLUS,Swift Racing Shell 808+ - Eight,"Swift Racing Shell 808+, Eight (8+), designed for crews averaging 50-65 kg (110-143 lb). Length 1600 cm; waterline beam 47.3 cm. New boat built to order. Construction grade, riggers, shoes, colours and accessories can be configured. Contact Swift Racing Canada for a quote and ordering guidance.",preorder,new,,https://swiftracingcanada.ca/contact/?boat=SRC-808PLUS,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-808plus.jpg,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-808plus-2.jpg,Swift Racing,808+,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Rowing Boats,Boats > Flatwater Racing Shells > Eight,Flatwater Racing Shells,8+,50-65 kg,Contact for quote,2026 catalogue
SRC-821PLUS,Swift Racing Shell 821+* - Eight,"Swift Racing Shell 821+*, Eight (8+), designed for crews averaging 65-80 kg (143-176 lb). Length 1685 cm; waterline beam 48.2 cm. New boat built to order. Construction grade, riggers, shoes, colours and accessories can be configured. Contact Swift Racing Canada for a quote and ordering guidance.",preorder,new,,https://swiftracingcanada.ca/contact/?boat=SRC-821PLUS,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-821plus.jpg,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-821plus-2.jpg,Swift Racing,821+*,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Rowing Boats,Boats > Flatwater Racing Shells > Eight,Flatwater Racing Shells,8+,65-80 kg,Contact for quote,2026 catalogue
SRC-822PLUS,Swift Racing Shell 822+* - Eight,"Swift Racing Shell 822+*, Eight (8+), designed for crews averaging 75-90 kg (165-198 lb). Length 1700 cm; waterline beam 53 cm. New boat built to order. Construction grade, riggers, shoes, colours and accessories can be configured. Contact Swift Racing Canada for a quote and ordering guidance.",preorder,new,,https://swiftracingcanada.ca/contact/?boat=SRC-822PLUS,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-822plus.jpg,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-822plus-2.jpg,Swift Racing,822+*,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Rowing Boats,Boats > Flatwater Racing Shells > Eight,Flatwater Racing Shells,8+,75-90 kg,Contact for quote,2026 catalogue
SRC-823PLUS,Swift Racing Shell 823+* - Eight,"Swift Racing Shell 823+*, Eight (8+), designed for crews averaging 85-100 kg (187-220 lb). Length 1760 cm; waterline beam 51 cm. New boat built to order. Construction grade, riggers, shoes, colours and accessories can be configured. Contact Swift Racing Canada for a quote and ordering guidance.",preorder,new,,https://swiftracingcanada.ca/contact/?boat=SRC-823PLUS,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-823plus.jpg,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-823plus-2.jpg,Swift Racing,823+*,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Rowing Boats,Boats > Flatwater Racing Shells > Eight,Flatwater Racing Shells,8+,85-100 kg,Contact for quote,2026 catalogue
SRC-2421ALPLUS,Swift Racing Shell 2421AL+* - Coxed Pair,"Swift Racing Shell 2421AL+*, Coxed Pair (2+), designed for crews averaging 60-80 kg (132-176 lb). Length 1143 cm; waterline beam 39.6 cm. New boat built to order. Construction grade, riggers, shoes, colours and accessories can be configured. Contact Swift Racing Canada for a quote and ordering guidance.",preorder,new,,https://swiftracingcanada.ca/contact/?boat=SRC-2421ALPLUS,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-2421alplus.jpg,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-2421alplus-2.jpg,Swift Racing,2421AL+*,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Rowing Boats,Boats > Flatwater Racing Shells > Coxed Pair,Flatwater Racing Shells,2+,60-80 kg,Contact for quote,2026 catalogue
SRC-2421AHPLUS,Swift Racing Shell 2421AH+* - Coxed Pair,"Swift Racing Shell 2421AH+*, Coxed Pair (2+), designed for crews averaging 70-90 kg (154-198 lb). Length 1143 cm; waterline beam 39.6 cm. New boat built to order. Construction grade, riggers, shoes, colours and accessories can be configured. Contact Swift Racing Canada for a quote and ordering guidance.",preorder,new,,https://swiftracingcanada.ca/contact/?boat=SRC-2421AHPLUS,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-2421ahplus.jpg,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-2421ahplus-2.jpg,Swift Racing,2421AH+*,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Rowing Boats,Boats > Flatwater Racing Shells > Coxed Pair,Flatwater Racing Shells,2+,70-90 kg,Contact for quote,2026 catalogue
